Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Alandur,1,T.M.Anbarasan,Dravida Munnetra Kazhagam,115777,1008,116785,49.12
Alandur,2,B.Valarmathi,All India Anna Dravida Munnetra Kazhagam,75634,580,76214,32.06
Alandur,3,N.Raja,Desiya Makkal Sakthi Katchi,261,4,265,0.11
Alandur,4,G Kamalakannan,Tamil Nadu Ilangyar Katchi,1096,9,1105,0.46
Alandur,5,Dr.R.Karthikeyan,Naam Tamilar Katchi,16453,53,16506,6.94
Alandur,6,Sarathbabu,Makkal Needhi Maiam,21045,72,21117,8.88
Alandur,7,Subashree,Anaithu Makkal Arasiyal Katchi,187,0,187,0.08
Alandur,8,Dr.R.Suresh,Bhartiya Manavadhikaar Federal Party,63,0,63,0.03
Alandur,9,M Mohammed Thameem Ansari,SOCIAL DEMOCRATIC PARTY OF INDIA,1750,11,1761,0.74
Alandur,10,Rajesh Chinnadurai,National Democratic Party of South India,54,6,60,0.03
Alandur,11,J.Vincent,Republican Party of India (Athawale),36,10,46,0.02
Alandur,12,E.Anbarasu,Independent,199,3,202,0.08
Alandur,13,S.Anbarasu,Independent,84,0,84,0.04
Alandur,14,M Anbarasu,Independent,108,0,108,0.05
Alandur,15,M.Ashok Kumar,Independent,73,1,74,0.03
Alandur,16,Ali Mohamed,Independent,219,1,220,0.09
Alandur,17,A.Abrahamlincon,Independent,260,0,260,0.11
Alandur,18,P.Sathiyaraj,Independent,140,0,140,0.06
Alandur,19,K Saravanan,Independent,40,0,40,0.02
Alandur,20,C Saravanan,Independent,39,1,40,0.02
Alandur,21,S.V.Saravanan,Independent,56,0,56,0.02
Alandur,22,Nithyanandham S,Independent,106,1,107,0.05
Alandur,23,B Raji,Independent,28,0,28,0.01
Alandur,24,M.Valarmathi,Independent,229,10,239,0.1
Alandur,25,S.Sridhar,Independent,156,0,156,0.07
Alandur,26,NOTA,None of the Above,1878,10,1888,0.79
Alangudi,1,M.CHINNADURAI,Bahujan Samaj Party,442,2,444,0.26
Alangudi,2,DHARMA THANGAVEL,All India Anna Dravida Munnetra Kazhagam,61918,170,62088,36.13
Alangudi,3,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,86743,1192,87935,51.17
